Phase2 PseudoZ,Station name,CBM18 PseudoZ
4653,7th St/Metro Blue/Expo,3407
4654,Pico Blue,3408
4655,Grand,3409
4656,San Pedro St,3410
4657,Washington,3411
4658,Vernon,3412
4659,Slauson,3413
4660,Florence,3414
4661,Firestone,3415
4662,103rd St/Watts,3416
4663,Willowbrook Blue,3417
4665,Compton,3418
4666,Artesia,3419
4667,Del Amo,3420
4668,Wardlow,3421
4669,Willow St,3422
4670,PCH,3423
4671,Anaheim St,3424
4672,5th St,3425
4673,1st St,3426
4674,Dwtn Long Beach,3427
4675,Pacific Av,3428
4650,LAUS Gold,3429
4704,Chinatown,3430
4705,Lincoln/Cypress,3431
4706,Heritage Sq,3432
4707,Southwest Mus,3433
4708,Highland Park,3434
4709,South Pasadena,3435
4710,Fillmore,3436
4711,Del Mar Gold,3437
4712,Del Mar Gold,3437
4713,Memorial Park,3438
4714,Lake,3439
4715,Allen,3440
4716,Sierra Madre,3441
4717,Little Tokyo,3454
4718,Pico/Aliso,3455
4719,Mariachi Plaza,3456
4720,Soto,3457
4721,Indiana,3458
4722,Maravilla,3459
4723,East LA Civic Ctr,3460
4724,Atlantic,3461
4691,Redondo,3499
4690,Douglas,3500
4689,El Segundo,3501
4688,Mariposa,3502
4687,Aviation/LAX,3503
4686,Hawthorne/Lennox,3504
4685,Crenshaw,3505
4684,Vermont/Athens LR,3506
4683,Harbor Freeway,3507
4682,Avalon,3508
4681,Long Beach Bl,3509
4680,Lakewood Bl,3510
4679,Norwalk Green,3511
4664,Willowbrook Green,3512
4701,Hollywd/Highland Red,3377
4648,LAUS Red/Purple,3353
4693,Wilshire/Vermont Red,3347
4676,Civic Center,3354
4677,Pershing Sq,3355
4652,7th St/Metro Red/Purple,3356
4678,Westlake/M.Park,3357
4692,Wilshire/Vermont Purple,3358
4694,Wilshire/Normandie,3359
4695,Wilshire/Western Purple,3360
4696,Vermont/Beverly Red,3372
4697,Vermont/Sta Monica Red,3373
4698,Vermont/Sunset Red,3374
4699,Hollywood/Western,3375
4700,Hollywood/Vine,3376
4702,Universal City Red,3378
4873,North Hollywood Red,3379
4798,Norwalk/Santa Fe ML,3228
4797,Commerce ML,3229
4799,Buena Park ML,3230
4801,Fullerton TC,3231
4800,Fullerton TC,3231
4803,Anaheim ML,3232
4802,Anaheim ML,3232
4804,Orange ML,3233
4805,Santa Ana ML,3234
4806,Tustin ML,3235
4807,Irvine TC,3236
4809,San Juan Capistrano ML,3238
4810,San Clemente ML,3239
4782,CSULA ML,3240
4818,El Monte ML,3241
4819,Baldwin Park ML,3242
4820,Covina ML,3243
4821,Pomona - North,3245
4822,Claremont ML,3246
4824,Montclair ML,3247
4823,Montclair ML,3247
4825,Upland ML,3248
4826,Rancho Cucamonga ML,3249
4827,Fontana ML,3250
4828,Rialto ML,3251
4829,San Bernardino ML,3252
4785,Glendale TC,3253
4787,Burbank ML,3254
4786,Burbank ML,3254
4789,Sylmar/San Fernando,3256
4792,Santa Clarita ML,3258
4793,Princessa ML,3259
4794,VG/Acton ML,3260
4795,Palmdale TC,3261
4796,Lancaster ML,3262
4831,Van Nuys ML,3265
4832,Northridge ML,3266
4772,Chatsworth ML,3267
4833,Simi Valley ML,3268
4834,Moorpark ML,3269
4837,Oxnard ML,3271
4817,Riverside-Downtown ML,3276
4816,Pedley ML,3283
4813,Downtown Pomona ML,3285
4814,Downtown Pomona ML,3285
4812,Industry,3286
4811,Montebello ML,3287
4815,East Ontario ML,3288
4830,Burbank Airport ML,3264
4788,Sun Valley ML,3255
4791,Newhall ML,3257
4790,Newhall ML,3257
4649,LAUS,3298
4842,Riverside-La Sierra ML,3318
4843,Riverside-La Sierra ML,3318
4840,North Main Corona ML,3319
4841,North Main Corona ML,3319
4839,West Corona ML,3320
4838,East Ventura ML,3272
4835,Camarillo ML,3270
4836,Camarillo ML,3270
4808,Laguna Niguel ML,3237
4874,Anaheim Canyon ML,3282
4766,Canoga,3404
4703,North Hollywood Orange,3164
4756,Laurel Canyon,3165
4752,Valley College,3380
4755,Woodman,3167
4753,Van Nuys OL,3168
4754,Van Nuys OL,3168
4758,Sepulveda,3169
4757,Sepulveda,3169
4759,Woodley,3383
4760,Balboa,3171
4761,Balboa,3171
4762,Reseda,3172
4763,Tampa,3387
4764,Pierce College,3174
4765,De Soto,3175
4767,Warner Center,3176
